Start Training...
Epoch 1/2: Iteration 49500, loss = 0.029592
Epoch 1/2: Iteration 49600, loss = 0.238377
Epoch 1/2: Iteration 49700, loss = 0.006423
Epoch 1/2: Iteration 49800, loss = 0.057420
Epoch 1/2: Iteration 49900, loss = 0.075726
Epoch 1/2: Iteration 50000, loss = 0.077467
Epoch 1/2: Iteration 50100, loss = 0.020789
Epoch 1/2: Iteration 50200, loss = 0.004137
Epoch 1/2: Iteration 50300, loss = 2.321729
Epoch 1/2: Iteration 50400, loss = 0.197831
Epoch 1/2: Iteration 50500, loss = 0.210265
Epoch 1/2: Iteration 50600, loss = 0.007256
Epoch 1/2: Iteration 50700, loss = 0.037900
Epoch 1/2: Iteration 50800, loss = 0.214691
Epoch 1/2: Iteration 50900, loss = 0.489894
Epoch 1/2: Iteration 51000, loss = 0.200363
Epoch 1/2: Iteration 51100, loss = 0.167691
Epoch 1/2: Iteration 51200, loss = 0.030158
Epoch 1/2: Iteration 51300, loss = 0.054799
Epoch 1/2: Iteration 51400, loss = 0.164781
Epoch 1/2: Iteration 51500, loss = 0.045464
Epoch 1/2: Iteration 51600, loss = 0.027393
Epoch 1/2: Iteration 51700, loss = 0.049965
Epoch 1/2: Iteration 51800, loss = 0.757287
Epoch 1/2: Iteration 51900, loss = 0.008253
Epoch 1/2: Iteration 52000, loss = 0.084477
Epoch 1/2: Iteration 52100, loss = 0.096473
Epoch 1/2: Iteration 52200, loss = 0.007279
Epoch 1/2: Iteration 52300, loss = 0.025785
Epoch 1/2: Iteration 52400, loss = 0.035977
Epoch 1/2: Iteration 52500, loss = 0.045819
Epoch 1/2: Iteration 52600, loss = 0.024075
Epoch 1/2: Iteration 52700, loss = 0.014870
Epoch 1/2: Iteration 52800, loss = 0.067897
Epoch 1/2: Iteration 52900, loss = 0.049291
Epoch 1/2: Iteration 53000, loss = 0.410530
Epoch 1/2: Iteration 53100, loss = 2.414436
Epoch 1/2: Iteration 53200, loss = 0.110771
Epoch 1/2: Iteration 53300, loss = 0.002874
Epoch 1/2: Iteration 53400, loss = 0.054054
Epoch 1/2: Iteration 53500, loss = 0.542488
Epoch 1/2: Iteration 53600, loss = 0.303639
